Year,Total World Nuclear Consumption,Total World,Total World Solar Consumption,Total World Wind Consumption,Total World Other Renewables,Total World Coal Consumption,Total World Renewable Consumption,Total World Natural Gas Consumption,Total World oil consumption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965,0.28,3.32,0.00,0.00,0.30,58.24,3.66,22.69,64.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966,0.38,3.54,0.00,0.00,0.32,58.89,3.90,24.73,69.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,0.45,3.62,0.00,0.00,0.32,57.94,3.97,26.55,74.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968,0.57,3.81,0.00,0.00,0.35,58.80,4.20,28.96,81.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969,0.67,4.04,0.00,0.00,0.37,60.65,4.45,31.80,88.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,0.86,4.23,0.00,0.00,0.40,61.51,4.68,34.61,96.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.1
1971,1.20,4.42,0.00,0.00,0.42,61.16,4.89,37.06,101.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972,1.66,4.62,0.00,0.00,0.47,61.81,5.15,39.10,109.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1973,2.22,4.69,0.00,0.00,0.51,63.66,5.25,40.96,117.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,2.91,5.15,0.00,0.00,0.56,63.71,5.76,41.98,116.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,4.03,5.22,0.00,0.00,0.59,64.96,5.86,41.98,115.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976,4.72,5.20,0.00,0.00,0.65,67.32,5.90,44.47,122.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
