Exajoules TES,Oil TES FUEL 23,Natural Gas TES FUEL 23,Coal TES FUEL 23,Nuclear energy TES FUEL 23,Hydro electric TES FUEL 23,Renew- ables TES FUEL 23,Total TES FUEL 23,Oil TES FUEL 24,Natural Gas TES FUEL 24,Coal TES FUEL 24,Nuclear energy TES FUEL 24,Hydro electric TES FUEL 24,Renew- ables TES FUEL 24,Total TES FUEL 24,Gigajoule  e per capita,1965 e per capita,1966  e per capita,1967  e per capita,1968  e per capita,1969  e per capita,1970  e per capita,1971  e per capita,1972  e per capita,1973 e per capita,1974  e per capita,1975  e per capita,1976  e per capita,1977  e per capita,1978  e per capita,1979  e per capita,1980  e per capita,1981  e per capita,1982  e per capita,1983  e per capita,1984  e per capita,1985  e per capita,1986  e per capita,1987  e per capita,1988  e per capita,1989  e per capita,1990  e per capita,1991  e per capita,1992  e per capita,1993  e per capita,1994  e per capita,1995  e per capita,1996  e per capita,1997  e per capita,1998  e per capita,1999  e per capita,2000  e per capita,2001  e per capita,2002  e per capita,2003  e per capita,2004  e per capita,2005  e per capita,2006  e per capita,2007 e per capita,2008  e per capita,2009 e per capita,2010 e per capita,2011 e per capita,2012  e per capita,2013  e per capita,2014  e per capita,2015 e per capita,2016  e per capita,2017  e per capita,2018 e per capita,2019  e per capita,2020  e per capita,2021 e per capita,2022 e per capita,2023 e per capita,2024  e per capita,2024 e growth per annum per capita,2014-24 e growth per annum per capita,Gigajoule per capita e supply per capita,1965 e supply per capita,1966 e supply per capita,1967 e supply per capita,1968 e supply per capita,1969 e supply per capita,1970 e supply per capita,1971 e supply per capita,1972 e supply per capita,1973 e supply per capita,1974 e supply per capita,1975 e supply per capita,1976 e supply per capita,1977 e supply per capita,1978 e supply per capita,1979 e supply per capita,1980 e supply per capita,1981 e supply per capita,1982 e supply per capita,1983 e supply per capita,1984 e supply per capita,1985 e supply per capita,1986 e supply per capita,1987 e supply per capita,1988 e supply per capita,1989 e supply per capita,1990 e supply per capita,1991 e supply per capita,1992 e supply per capita,1993 e supply per capita,1994 e supply per capita,1995 e supply per capita,1996 e supply per capita,1997 e supply per capita,1998 e supply per capita,1999 e supply per capita,2000 e supply per capita,2001 e supply per capita,2002 e supply per capita,2003 e supply per capita,2004 e supply per capita,2005 e supply per capita,2006 e supply per capita,2007 e supply per capita,2008 e supply per capita,2009 e supply per capita,2010 e supply per capita,2011 e supply per capita,2012 e supply per capita,2013 e supply per capita,2014 e supply per capita,2015 e supply per capita,2016 e supply per capita,2017 e supply per capita,2018 e supply per capita,2019 e supply per capita,2020 e supply per capita,2021 e supply per capita,2022 e supply per capita,2023 e supply per capita,2024 e supply per capita,2024 e supply growth,2014-24 e supply growth,Terawatt-hours nuclear gen,1965 nuclear gen,1966 nuclear gen,1967 nuclear gen,1968 nuclear gen,1969 nuclear gen,1970 nuclear gen,1971 nuclear gen,1972 nuclear gen,1973 nuclear gen,1974 nuclear gen,1975 nuclear gen,1976 nuclear gen,1977 nuclear gen,1978 nuclear gen,1979 nuclear gen,1980 nuclear gen,1981 nuclear gen,1982 nuclear gen,1983 nuclear gen,1984 nuclear gen,1985 nuclear gen,1986 nuclear gen,1987 nuclear gen,1988 nuclear gen,1989 nuclear gen,1990 nuclear gen,1991 nuclear gen,1992 nuclear gen,1993 nuclear gen,1994 nuclear gen,1995 nuclear gen,1996 nuclear gen,1997 nuclear gen,1998 nuclear gen,1999 nuclear gen,2000 nuclear gen,2001 nuclear gen,2002 nuclear gen,2003 nuclear gen,2004 nuclear gen,2005 nuclear gen,2006 nuclear gen,2007 nuclear gen,2008 nuclear gen,2009 nuclear gen,2010 nuclear gen,2011 nuclear gen,2012 nuclear gen,2013 nuclear gen,2014 nuclear gen,2015 nuclear gen,2016 nuclear gen,2017 nuclear gen,2018 nuclear gen,2019 nuclear gen,2020 nuclear gen,2021 nuclear gen,2022 nuclear gen,2023 nuclear gen,2024 nuclear gen,2024 nuclear gen growth,2014-24 nuclear gen growth,2024 nuclear gen share,Terawatt-hours renew gen,196  renew gen,1966 renew gen,1967 renew gen,1968 renew gen,1969 renew gen,1970 renew gen,1971 renew gen,1972 renew gen,1973 renew gen,1974 renew gen,1975 renew gen,1976 renew gen,1977 renew gen,1978 renew gen,1979 renew gen,1980 renew gen,1981 renew gen,1982 renew gen,1983 renew gen,1984 renew gen,1985 renew gen,1986 renew gen,1987 renew gen,1988 renew gen,1989 renew gen,1990 renew gen,1991 renew gen,1992 renew gen,1993 renew gen,1994 renew gen,1995 renew gen,1996 renew gen,1997 renew gen,1998 renew gen,1999 renew gen,2000 renew gen,2001 renew gen,2002 renew gen,2003 renew gen,2004 renew gen,2005 renew gen,2006 renew gen,2007 renew gen,2008 renew gen,2009 renew gen,2010 renew gen,2011 renew gen,2012 renew gen,2013 renew gen,2014 renew gen,2015 renew gen,2016 renew gen,2017 renew gen,2018 renew gen,2019 renew gen,2020 renew gen,2021 renew gen,2022 renew gen,2023 renew gen,2024 renew gen,2024 renew gen growth,2014-24 renew gen growth,2024  renew gen share,Terawatt-hours source 23,Wind source 23,Solar source 23,Hydro source 23,Other renewables # source 23,Total source 23,Wind source 24,Solar source 24,Hydro source 24,Other renewables #  ource 24,Total source 24,Wind source 24 growth,Solar source 24 growth,Hydro source 24 growth,Other renewables # source 24 growth,Total source 24 growth,Terawatt-hours gen by fuel 23,Oil gen by fuel 23,Natural Gas gen by fuel 23,Coal gen by fuel 23,Nuclear energy gen by fuel 23,Hydro electric gen by fuel 23,Renewables gen by fuel 23,Other# gen by fuel 23,Total gen by fuel 23,Oil gen by fuel 24,Natural Gas gen by fuel 24,Coal gen by fuel 24,Nuclear energy gen by fuel 24,Hydro electric gen by fuel 24,Renewables gen by fuel 24,Other# gen by fuel 24,Total gen by fuel 24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,4.30,4.47,0.37,0.96,1.30,0.40,11.81,4.35,4.63,0.29,0.93,1.24,0.43,11.87,Canada,211.8,219.5,226.5,239.5,248.2,261.8,264.7,278.6,299.8,301.9,294.7,304.5,320.0,319.7,325.1,326.8,316.3,303.2,295.9,310.8,315.8,314.6,321.9,335.7,338.6,316.5,311.3,315.7,320.5,330.9,335.5,338.2,338.1,333.0,339.8,345.1,339.5,346.8,349.2,353.1,348.9,334.2,355.6,345.7,327.5,331.8,339.0,335.4,341.4,340.9,337.1,328.2,328.6,331.5,326.3,300.8,301.6,305.73,300.40,298.64,-0.9%,-1.3%,Canada,211.8,219.5,226.5,239.5,248.2,261.8,264.7,278.6,299.8,301.9,294.7,304.5,320.0,319.7,325.1,326.8,316.3,303.2,295.9,310.8,315.8,314.6,321.9,335.7,338.6,316.5,311.3,315.7,320.5,330.9,335.5,338.2,338.1,333.0,339.8,345.1,339.5,346.8,349.2,353.1,348.9,334.2,355.6,345.7,327.5,331.8,339.0,335.4,341.4,340.9,337.1,328.2,328.6,331.5,326.3,300.8,301.6,305.73,300.40,298.64,-0.9%,-1.3%,Canada,0.1,0.2,0.2,0.9,0.5,1.0,4.3,7.2,15.3,14.7,12.6,17.4,26.3,31.2,35.3,38.0,40.1,38.3,48.6,52.2,60.5,71.3,77.3,82.9,79.3,72.5,84.3,80.0,93.3,107.1,97.2,92.1,82.0,71.0,73.0,72.3,76.2,75.0,74.4,89.8,91.4,97.3,92.8,95.4,89.5,90.0,92.9,94.2,102.7,106.5,101.1,100.7,100.6,100.0,100.5,97.5,92.0,86.6,88.4,85.5,-3.6%,-2.2%,3.0%,Canada,118.1,131.0,133.9,136.2,150.6,158.1,162.5,181.6,194.7,210.7,202.5,213.4,221.2,236.4,245.5,252.4,267.9,259.9,268.0,288.5,305.3,312.5,318.5,309.9,293.9,299.6,311.3,319.7,327.1,333.6,341.3,362.2,356.9,339.9,354.1,366.0,341.5,359.7,346.3,349.2,372.7,364.3,379.6,389.3,384.4,370.7,396.7,403.4,415.5,407.2,422.0,430.7,440.6,433.4,428.7,436.8,435.4,452.5,419.4,409.3,-2.7%,0.1%,4.1%,Canada,40.5,8.4,360.7,9.8,419.4,46.8,9.4,343.2,9.8,409.3,15.28%,11.83%,-5.12%,0.04%,-2.69%,Canada,6.8,102.3,23.6,88.4,360.7,58.7,0.8,641.4,7.3,109.0,25.0,85.5,343.2,66.1,0.8,636.8
Mexico,3.57,3.62,0.28,0.14,0.07,0.35,8.03,3.60,3.61,0.28,0.13,0.08,0.33,8.04,Mexico,23.0,23.5,23.0,24.2,25.8,26.5,27.2,29.3,30.8,33.2,34.8,35.9,36.7,40.8,44.1,47.1,50.2,51.6,50.1,51.2,52.3,50.9,52.1,51.3,52.9,56.9,57.7,57.5,56.5,59.1,56.6,56.8,57.5,59.1,58.4,61.1,59.9,60.8,61.2,63.7,68.9,68.6,68.7,69.7,68.2,66.8,68.9,68.6,68.0,66.1,65.1,66.5,67.4,65.1,63.6,57.1,59.7,61.96,61.87,61.48,-0.9%,-0.7%,Mexico,23.0,23.5,23.0,24.2,25.8,26.5,27.2,29.3,30.8,33.2,34.8,35.9,36.7,40.8,44.1,47.1,50.2,51.6,50.1,51.2,52.3,50.9,52.1,51.3,52.9,56.9,57.7,57.5,56.5,59.1,56.6,56.8,57.5,59.1,58.4,61.1,59.9,60.8,61.2,63.7,68.9,68.6,68.7,69.7,68.2,66.8,68.9,68.6,68.0,66.1,65.1,66.5,67.4,65.1,63.6,57.1,59.7,61.96,61.87,61.48,-0.9%,-0.7%,Mexico,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.4,2.9,4.2,3.9,4.9,4.2,8.4,7.9,10.5,9.3,10.0,8.2,8.7,9.7,10.5,9.2,10.8,10.9,10.4,9.8,10.5,5.9,10.1,8.8,11.8,9.7,11.6,10.6,10.9,13.6,11.2,11.2,11.9,10.8,12.4,12.3,-0.9%,2.4%,0.4%,Mexico,8.9,10.1,11.0,12.6,13.4,15.0,14.6,15.5,16.5,17.2,15.7,17.8,19.8,16.8,19.0,17.8,25.6,24.2,22.1,25.0,30.1,24.7,23.7,26.5,30.0,29.6,28.5,33.2,33.2,26.5,34.0,37.5,32.3,30.8,38.8,39.5,34.7,31.0,26.8,32.5,35.9,38.0,35.8,47.4,34.9,46.5,45.9,43.1,40.1,53.6,48.2,49.0,50.8,55.2,57.5,69.4,82.1,83.1,71.3,75.0,5.0%,3.4%,0.8%,Mexico,20.7,23.3,20.6,6.6,71.3,19.8,25.7,23.5,6.0,75.0,-4.83%,9.92%,13.92%,-9.86%,4.95%,Mexico,35.3,219.2,13.5,12.4,20.6,50.7,-,351.7,33.8,221.7,12.4,12.3,23.5,51.5,-,355.2
US,35.88,31.98,8.19,8.90,0.87,5.37,91.20,35.82,32.48,7.90,8.98,0.86,5.79,91.83,US,258.5,269.8,275.1,288.6,299.6,306.9,309.1,321.2,331.9,319.7,308.5,323.5,331.0,333.4,333.8,317.7,305.6,288.4,283.9,296.5,294.4,294.4,303.1,315.2,319.1,316.2,312.3,314.1,316.4,319.3,321.6,328.5,327.5,327.5,330.4,335.7,326.3,326.9,324.7,328.3,325.3,319.0,321.2,309.7,290.9,297.9,290.9,280.9,285.7,286.1,280.7,276.9,274.2,281.8,277.0,254.0,266.9,270.11,265.51,265.85,-0.1%,-0.7%,US,258.5,269.8,275.1,288.6,299.6,306.9,309.1,321.2,331.9,319.7,308.5,323.5,331.0,333.4,333.8,317.7,305.6,288.4,283.9,296.5,294.4,294.4,303.1,315.2,319.1,316.2,312.3,314.1,316.4,319.3,321.6,328.5,327.5,327.5,330.4,335.7,326.3,326.9,324.7,328.3,325.3,319.0,321.2,309.7,290.9,297.9,290.9,280.9,285.7,286.1,280.7,276.9,274.2,281.8,277.0,254.0,266.9,270.11,265.51,265.85,-0.1%,-0.7%,US,3.8,5.8,8.1,13.2,14.7,23.0,40.1,56.9,87.9,120.0,181.6,201.2,264.1,291.0,268.6,264.3,287.0,297.7,309.1,344.9,403.9,435.8,479.2,554.7,557.2,607.2,644.8,651.3,642.4,674.1,708.8,710.2,661.7,709.2,766.6,793.6,809.3,821.1,803.9,830.0,823.1,828.7,848.9,848.6,840.9,849.4,831.8,809.8,830.5,839.1,839.1,848.1,847.3,849.6,852.0,831.5,820.7,812.1,815.7,823.1,0.6%,-0.2%,29.2%,US,212.3,214.0,241.3,243.7,272.3,269.7,288.8,297.4,298.2,327.7,326.0,312.4,249.4,311.0,311.7,308.7,293.9,341.9,368.5,363.2,323.6,335.7,298.1,270.8,326.0,352.9,351.3,319.6,349.7,329.7,378.2,416.2,425.6,391.3,388.1,345.5,284.5,341.0,353.2,349.5,357.8,386.3,352.8,382.2,421.4,431.0,518.0,502.3,532.8,552.5,562.3,631.2,714.5,741.1,769.1,830.5,871.0,968.6,975.1,1068.7,9.3%,6.8%,10.8%,US,425.4,241.4,241.4,66.9,975.1,458.0,306.2,238.7,65.7,1068.7,7.38%,26.53%,-1.39%,-2.09%,9.30%,US,17.5,1942.0,738.6,815.7,241.4,733.7,10.3,4499.1,16.4,2005.2,712.4,823.1,238.7,830.0,8.9,4634.8
Total North America,43.75,40.07,8.84,10.00,2.24,6.13,111.03,43.77,40.72,8.48,10.05,2.18,6.55,111.75,Total North America,215.6,224.1,227.9,238.4,246.8,252.6,253.8,263.3,272.3,263.1,253.8,264.9,270.9,272.6,273.2,261.8,252.4,239.0,234.5,244.3,243.0,242.1,248.6,257.5,260.4,257.2,254.0,255.2,256.7,259.7,260.6,265.3,264.5,264.1,266.1,270.6,263.1,264.1,262.7,265.8,264.5,259.0,261.9,253.4,238.7,243.2,239.3,232.1,235.5,235.1,230.9,228.0,226.4,231.2,227.2,208.0,217.3,220.23,216.64,216.55,-0.3%,-0.8%,Total North America,215.6,224.1,227.9,238.4,246.8,252.6,253.8,263.3,272.3,263.1,253.8,264.9,270.9,272.6,273.2,261.8,252.4,239.0,234.5,244.3,243.0,242.1,248.6,257.5,260.4,257.2,254.0,255.2,256.7,259.7,260.6,265.3,264.5,264.1,266.1,270.6,263.1,264.1,262.7,265.8,264.5,259.0,261.9,253.4,238.7,243.2,239.3,232.1,235.5,235.1,230.9,228.0,226.4,231.2,227.2,208.0,217.3,220.23,216.64,216.55,-0.3%,-0.8%,Total North America,4.0,6.0,8.2,14.1,15.2,24.0,44.4,64.1,103.1,134.7,194.2,218.6,290.4,322.2,303.9,302.4,327.1,336.0,357.7,397.1,464.4,507.1,556.5,637.6,636.9,682.6,733.4,735.3,740.6,785.5,814.5,810.2,754.1,789.4,849.6,874.1,894.2,905.9,888.8,929.0,925.3,936.8,952.1,953.8,940.9,945.3,934.8,912.8,945.1,955.3,951.8,959.4,958.8,963.1,963.7,940.1,924.6,909.6,916.5,920.9,0.2%,-0.4%,32.7%,Total North America,339.3,355.1,386.2,392.5,436.3,442.9,465.9,494.6,509.4,555.5,544.1,543.6,490.4,564.2,576.2,578.9,587.4,626.1,658.6,676.7,659.0,672.9,640.3,607.2,649.9,682.2,691.1,672.5,709.9,689.8,753.5,815.9,814.8,762.0,781.1,750.9,660.7,731.7,726.3,731.1,766.3,788.6,768.3,818.8,840.7,848.1,960.6,948.8,988.4,1013.4,1032.5,1110.9,1205.9,1229.8,1255.3,1336.6,1388.5,1504.2,1465.8,1553.0,5.7%,4.4%,15.7%,Total North America,486.6,273.1,622.8,83.3,1465.8,524.6,341.4,605.5,81.5,1553.0,7.52%,24.66%,-3.05%,-2.46%,5.66%,Total North America,59.6,2263.5,775.7,916.5,622.8,843.0,11.1,5492.2,57.5,2335.9,749.8,920.9,605.5,947.5,9.7,5626.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,,,,,,,,,,,,
Argentina,1.33,1.62,0.05,0.10,0.11,0.14,3.35,1.22,1.64,0.04,0.11,0.11,0.15,3.27,Argentina,53.1,54.0,54.7,55.7,56.7,52.8,55.2,55.0,56.1,56.9,54.7,56.6,58.0,57.0,59.5,57.1,54.5,54.3,55.8,54.8,53.0,54.9,56.5,58.1,55.5,52.8,53.4,56.0,56.3,58.2,59.6,62.5,61.7,63.7,65.1,62.8,59.1,55.9,60.2,64.5,67.4,69.8,73.2,73.5,69.9,72.0,73.7,76.4,80.7,78.5,79.3,78.6,76.9,75.3,70.1,64.7,71.3,74.58,73.52,71.64,-2.8%,-0.9%,Argentina,53.1,54.0,54.7,55.7,56.7,52.8,55.2,55.0,56.1,56.9,54.7,56.6,58.0,57.0,59.5,57.1,54.5,54.3,55.8,54.8,53.0,54.9,56.5,58.1,55.5,52.8,53.4,56.0,56.3,58.2,59.6,62.5,61.7,63.7,65.1,62.8,59.1,55.9,60.2,64.5,67.4,69.8,73.2,73.5,69.9,72.0,73.7,76.4,80.7,78.5,79.3,78.6,76.9,75.3,70.1,64.7,71.3,74.58,73.52,71.64,-2.8%,-0.9%,Argentina,-,-,-,-,-,-,-,-,-,1.0,2.5,2.6,1.6,2.9,2.7,2.3,2.8,1.9,3.4,4.6,5.8,5.7,6.5,5.8,5.0,7.3,7.8,7.1,7.8,8.2,7.1,7.5,8.0,7.5,7.1,6.2,7.1,5.8,7.6,7.9,6.9,7.7,7.3,7.4,8.2,7.2,6.4,6.4,6.2,5.5,7.0,8.3,6.1,6.9,8.4,10.0,10.2,7.5,9.0,10.4,16.3%,6.6%,0.4%,Argentina,1.2,1.2,1.3,1.5,1.3,1.6,1.6,1.6,3.1,5.1,5.3,5.1,5.8,7.8,10.8,15.2,14.8,17.7,18.6,20.0,20.8,21.2,22.0,15.4,13.3,17.8,16.0,19.3,23.9,27.4,26.6,22.7,28.1,26.7,21.7,29.0,37.0,36.4,34.8,31.4,35.2,39.1,32.4,32.4,35.8,34.8,32.6,31.0,34.8,34.5,34.4,31.5,33.7,35.2,34.8,36.6,37.0,42.3,51.7,52.4,1.2%,4.3%,0.5%,Argentina,14.5,3.3,31.5,2.4,51.7,16.2,4.0,29.7,2.6,52.4,11.36%,20.59%,-6.05%,9.30%,1.23%,Argentina,9.0,76.3,1.8,9.0,31.5,20.2,0.8,148.6,5.8,82.0,1.3,10.4,29.7,22.8,0.5,152.5
Brazil,5.13,1.08,0.57,0.16,1.53,2.10,10.58,5.14,1.13,0.53,0.17,1.49,2.25,10.71,Brazil,9.6,10.2,10.3,11.7,12.5,14.7,15.5,17.4,20.2,21.7,22.1,23.4,24.1,26.0,27.2,26.9,25.1,25.6,24.9,25.8,27.1,28.2,28.5,28.9,29.0,28.0,28.4,28.3,29.1,30.1,31.5,33.1,34.6,35.5,35.6,36.6,36.5,36.4,36.0,37.5,37.8,38.6,40.6,42.9,41.7,45.9,47.2,48.9,51.1,52.5,51.6,48.8,49.0,48.2,48.8,46.0,48.9,49.03,50.09,50.54,0.6%,-0.4%,Brazil,9.6,10.2,10.3,11.7,12.5,14.7,15.5,17.4,20.2,21.7,22.1,23.4,24.1,26.0,27.2,26.9,25.1,25.6,24.9,25.8,27.1,28.2,28.5,28.9,29.0,28.0,28.4,28.3,29.1,30.1,31.5,33.1,34.6,35.5,35.6,36.6,36.5,36.4,36.0,37.5,37.8,38.6,40.6,42.9,41.7,45.9,47.2,48.9,51.1,52.5,51.6,48.8,49.0,48.2,48.8,46.0,48.9,49.03,50.09,50.54,0.6%,-0.4%,Brazil,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.6,3.4,0.1,1.0,0.6,1.8,2.2,1.4,1.8,0.4,0.1,2.5,2.4,3.2,3.3,4.0,6.0,14.3,13.8,13.4,11.6,9.9,13.8,12.3,14.0,13.0,14.5,15.7,16.0,15.4,15.4,14.7,15.9,15.7,15.7,16.1,14.1,14.7,14.6,14.5,15.8,8.5%,0.3%,0.6%,Brazil,25.5,27.9,29.2,30.6,32.7,40.3,43.8,51.4,58.6,66.5,73.2,83.8,94.6,104.1,118.4,130.7,132.6,143.3,154.5,169.4,181.4,185.6,189.2,202.4,208.1,210.6,221.8,228.3,240.0,248.1,259.5,272.5,286.4,299.0,301.4,312.3,276.9,296.4,317.6,333.4,351.2,363.9,392.7,390.5,415.1,437.4,463.7,456.2,438.5,432.7,431.3,465.8,467.0,495.3,515.4,522.9,507.9,593.9,630.2,651.3,3.1%,4.2%,6.6%,Brazil,95.8,50.6,426.0,57.8,630.2,108.5,71.3,413.2,58.2,651.3,12.94%,40.47%,-3.27%,0.55%,3.06%,Brazil,9.1,38.6,13.3,14.5,426.0,204.2,2.4,708.1,10.6,48.8,16.2,15.8,413.2,238.0,3.1,745.7
Chile,0.81,0.27,0.14,-,0.08,0.20,1.51,0.86,0.26,0.13,-,0.10,0.21,1.54,Chile,25.8,27.3,27.3,27.2,28.7,29.7,31.5,31.0,29.5,28.6,25.1,25.7,26.4,27.0,28.2,28.6,28.2,25.3,25.7,26.2,25.6,26.0,26.7,30.2,34.6,37.0,39.3,41.8,43.7,45.8,48.5,51.9,58.8,59.5,62.6,62.7,62.2,62.7,62.7,67.7,68.1,69.2,70.8,69.4,65.3,67.9,72.3,75.2,76.8,73.8,73.3,77.1,77.9,79.2,78.9,71.8,77.6,79.98,76.62,78.16,1.7%,0.6%,Chile,25.8,27.3,27.3,27.2,28.7,29.7,31.5,31.0,29.5,28.6,25.1,25.7,26.4,27.0,28.2,28.6,28.2,25.3,25.7,26.2,25.6,26.0,26.7,30.2,34.6,37.0,39.3,41.8,43.7,45.8,48.5,51.9,58.8,59.5,62.6,62.7,62.2,62.7,62.7,67.7,68.1,69.2,70.8,69.4,65.3,67.9,72.3,75.2,76.8,73.8,73.3,77.1,77.9,79.2,78.9,71.8,77.6,79.98,76.62,78.16,1.7%,0.6%,Chile,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,?,Chile,4.0,4.2,4.3,3.6,4.0,4.3,4.9,5.8,5.6,6.4,6.4,6.7,7.0,7.3,7.5,8.0,8.3,9.1,9.8,10.2,11.3,12.1,13.1,12.9,10.9,9.9,14.2,18.5,19.0,18.8,20.3,18.6,20.7,17.1,15.0,20.5,23.4,25.0,24.3,23.0,27.4,29.7,25.0,27.9,28.7,25.5,25.2,26.6,27.4,29.9,32.7,31.4,36.3,41.2,40.6,42.1,43.0,51.1,58.7,65.3,10.8%,8.1%,0.7%,Chile,9.4,18.4,23.4,7.5,58.7,10.5,20.7,26.5,7.6,65.3,11.61%,11.72%,12.94%,1.00%,10.81%,Other S. & Cent. America,72.9,117.6,37.4,-,297.7,77.2,^,602.8,74.1,118.1,37.1,-,292.9,85.9,-,608.1
Colombia,0.92,0.47,0.20,-,0.22,0.06,1.86,0.91,0.48,0.22,-,0.20,0.07,1.88,Colombia,18.0,19.7,20.1,20.2,19.7,21.0,20.2,22.8,21.3,23.2,21.1,21.5,21.7,22.0,22.2,22.4,22.3,22.3,23.1,22.5,22.5,22.7,24.3,23.5,24.0,22.0,22.3,24.0,24.8,26.0,26.2,26.4,27.2,27.3,24.0,23.4,23.2,22.5,22.3,23.2,22.3,25.9,25.9,26.7,26.9,28.3,28.5,30.6,31.8,33.5,32.8,35.7,34.4,35.1,34.9,31.0,32.8,36.36,35.59,35.64,-0.1%,0.6%,Colombia,18.0,19.7,20.1,20.2,19.7,21.0,20.2,22.8,21.3,23.2,21.1,21.5,21.7,22.0,22.2,22.4,22.3,22.3,23.1,22.5,22.5,22.7,24.3,23.5,24.0,22.0,22.3,24.0,24.8,26.0,26.2,26.4,27.2,27.3,24.0,23.4,23.2,22.5,22.3,23.2,22.3,25.9,25.9,26.7,26.9,28.3,28.5,30.6,31.8,33.5,32.8,35.7,34.4,35.1,34.9,31.0,32.8,36.36,35.59,35.64,-0.1%,0.6%,Colombia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,?,Colombia,3.5,3.9,4.4,4.9,5.4,6.1,6.4,7.1,7.7,8.8,9.9,10.4,10.6,12.3,13.5,14.7,14.5,15.5,15.6,17.4,18.7,21.6,23.5,24.8,27.1,27.8,28.0,22.6,28.2,32.5,32.5,35.8,32.0,31.3,34.2,31.3,32.1,34.5,36.7,38.9,39.8,43.1,44.8,46.7,41.9,41.7,49.8,49.1,45.8,46.5,46.6,48.8,59.3,58.8,56.6,52.1,62.7,66.8,63.0,59.8,-5.3%,2.5%,0.6%,Colombia,0.2,1.2,59.8,1.8,63.0,0.1,3.3,54.5,1.9,59.8,-27.12%,174.57%,-9.17%,5.34%,-5.32%,Total S. & Cent. America,91.0,232.5,52.5,23.5,755.2,301.5,3.2,1459.4,90.6,248.8,54.6,26.2,735.7,346.7,3.6,1506.3
