COUNTRY,2024_GDP_Billions
Advanced Economies,64901.125
United Kingdom,3644.636
G7,49422.823
United States,29298.025
Germany,4684.182
Austria,523.956
Other Advanced Economies (Advanced Economies excluding G7 and Euro Area countries),9243.702
Belgium,664.365
Italy,2372.059
Denmark,424.525
France,3160.902
"Netherlands, The",1214.562
Luxembourg,93.252
"San Marino, Republic of",2.082
Switzerland,938.153
Sweden,603.715
Norway,483.593
Finland,298.607
"Liechtenstein, Principality of",8.5
Canada,2243.637
Japan,4019.382
Euro Area (EA),16447.395
"Andorra, Principality of",4.038
Spain,1725.152
Malta,24.964
Greece,257.067
Iceland,33.255
Ireland,608.974
Portugal,308.581
Argentina,637.234
New Zealand,258.365
Australia,1795.492
"Türkiye, Republic of",1358.251
Emerging Market and Developing Economies,46211.735
South Africa,401.076
Latin America and the Caribbean (LAC),6786.876
Colombia,418.818
Bolivia,46.967
Brazil,2179.413
Costa Rica,95.365
Chile,330.21
Ecuador,124.676
Dominican Republic,124.613
El Salvador,35.365
Mexico,1856.366
Panama,86.524
Haiti,25.285
Honduras,37.1
Guatemala,113.19
Nicaragua,19.694
Uruguay,80.961
"Venezuela, República Bolivariana de",119.803
Peru,294.675
Paraguay,44.458
Dominica,0.698
"Bahamas, The",15.833
"Aruba, Kingdom of the Netherlands",4.192
Antigua and Barbuda,2.208
Jamaica,21.9
Belize,3.204
Barbados,7.169
Grenada,1.395
St. Kitts and Nevis,1.079
Guyana,24.659
Puerto Rico,125.842
St. Vincent and the Grenadines,1.162
St. Lucia,2.574
Suriname,4.452
Trinidad and Tobago,25.634
Middle East and Central Asia,5137.124
Iraq,278.771
"Iran, Islamic Republic of",416.676
"Bahrain, Kingdom of",47.11
Cyprus,36.322
Oman,106.943
Kuwait,160.226
Jordan,53.428
Israel,542.285
Qatar,219.631
Lebanon,28.28
United Arab Emirates,552.325
"Egypt, Arab Republic of",383.105
Saudi Arabia,1239.805
"Afghanistan, Islamic Republic of",18.08
"Yemen, Republic of",19.101
Emerging and Developing Asia,26736.872
West Bank and Gaza,13.711
ASEAN-5,3354.049
Bangladesh,450.461
Bhutan,3.098
Cambodia,46.098
Myanmar,61.653
Brunei Darussalam,15.463
Indonesia,1396.3
Taiwan ,797.004
Hong Kong ,406.863
Sri Lanka,98.964
Malaysia,422.227
Lao People's Democratic Republic,15.908
"Korea, Republic of",1875.388
"Timor-Leste, Democratic Republic of",2.015
India,3909.892
Singapore,547.387
Philippines,461.617
Maldives,7.052
Nepal,42.914
Pakistan,371.408
"Palau, Republic of",0.322
Thailand,526.518
Sub-Saharan Africa (SSA),1919.669
Djibouti,4.291
Vietnam,459.472
Botswana,19.356
Angola,115.214
Algeria,269.14
Central African Republic,2.831
Cameroon,54.394
Burundi,4.827
Cabo Verde,2.726
"Congo, Democratic Republic of the",74.498
"Congo, Republic of",14.774
Chad,19.836
"Comoros, Union of the",1.442
Benin,21.487
"Equatorial Guinea, Republic of",12.769
Guinea-Bissau,2.186
"Ethiopia, The Federal Democratic Republic of",142.073
"Gambia, The",2.355
Gabon,20.9
Guinea,24.229
Ghana,82.825
Malawi,11.797
Kenya,119.307
Côte d'Ivoire,87.096
Liberia,4.778
"Lesotho, Kingdom of",2.298
"Mauritania, Islamic Republic of",11.003
Mali,22.789
"Madagascar, Republic of",17.421
Libya,48.363
Morocco,160.606
Mauritius,14.986
Niger,19.866
Nigeria,252.109
"Mozambique, Republic of",22.745
Sierra Leone,7.792
Senegal,32.816
"São Tomé and Príncipe, Democratic Republic of",0.828
Rwanda,14.251
Zimbabwe,49.154
Sudan,29.184
"South Sudan, Republic of",4.648
Somalia,12.161
Seychelles,2.178
Namibia,13.37
Tunisia,52.925
Togo,9.776
"Tanzania, United Republic of",79.236
"Eswatini, Kingdom of",4.944
Solomon Islands,1.778
Kiribati,0.308
Burkina Faso,23.13
Uganda,56.232
Zambia,26.326
Tonga,0.558
Vanuatu,1.09
Samoa,1.176
"Nauru, Republic of",0.162
"Fiji, Republic of",5.968
Papua New Guinea,31.496
"Belarus, Republic of",76.208
"Marshall Islands, Republic of the",0.281
"Micronesia, Federated States of",0.471
Tuvalu,0.056
Emerging and Developing Europe,5631.194
"Armenia, Republic of",25.955
"Azerbaijan, Republic of",74.316
Albania,27.084
"Kazakhstan, Republic of",291.48
Georgia,33.775
Russian Federation,2173.225
Bulgaria,112.232
Kyrgyz Republic,17.491
"Moldova, Republic of",18.201
"Tajikistan, Republic of",14.199
China,18749.759
"Uzbekistan, Republic of",114.962
Czech Republic,347.034
Turkmenistan,68.675
Ukraine,190.687
"Serbia, Republic of",89.074
"Latvia, Republic of",43.508
Slovak Republic,141.733
"Estonia, Republic of",43.117
Mongolia,23.795
Montenegro,8.272
Hungary,223.06
"Slovenia, Republic of",72.95
Bosnia and Herzegovina,29.614
"Lithuania, Republic of",84.847
"Croatia, Republic of",92.643
"Poland, Republic of",914.553
"North Macedonia, Republic of",16.679
World,111112.86
"Kosovo, Republic of",11.2
Romania,382.854
European Union (EU),19459.717
