Entity,2024_Renewable_TWh,Region
Canada,409.30,North America
Mexico,75.00,North America
US,1068.70,North America
Total North America,1553.00,North America
,,
Argentina,52.40,S & Central America
Brazil,651.30,S & Central America
Chile,65.30,S & Central America
Colombia,59.80,S & Central America
Ecuador,23.40,S & Central America
Peru,37.90,S & Central America
Trinidad & Tobago,,S & Central America
Venezuela,72.90,S & Central America
Central America,45.80,S & Central America
Other Caribbean,8.60,S & Central America
Other South America,65.10,S & Central America
Total S. & Cent. America,1082.50,S & Central America
,,
Austria,68.10,Europe
Belgium,25.50,Europe
Bulgaria,11.40,Europe
Croatia,11.30,Europe
Cyprus,1.30,Europe
Czech Republic,12.50,Europe
Denmark,30.30,Europe
Estonia,3.60,Europe
Finland,46.50,Europe
France,150.80,Europe
Germany,284.00,Europe
Greece,26.10,Europe
Hungary,11.60,Europe
Iceland,19.60,Europe
Ireland,14.30,Europe
Italy,133.30,Europe
Latvia,4.40,Europe
Lithuania,6.10,Europe
Luxembourg,1.60,Europe
Netherlands,62.30,Europe
North Macedonia,1.90,Europe
Norway,154.80,Europe
Poland,50.90,Europe
Portugal,40.20,Europe
Romania,25.20,Europe
Slovakia,7.10,Europe
Slovenia,7.40,Europe
Spain,159.40,Europe
Sweden,119.60,Europe
Switzerland,52.60,Europe
Turkey,162.20,Europe
Ukraine,19.80,Europe
United Kingdom,144.70,Europe
Other Europe,41.30,Europe
Total Europe,1911.70,Europe
,,
Azerbaijan,3.60,CIS
Belarus,1.10,CIS
Kazakhstan,18.00,CIS
Russian Federation,218.90,CIS
Turkmenistan,,CIS
USSR,,CIS
Uzbekistan,13.00,CIS
Other CIS,37.40,CIS
Total CIS,292.10,CIS
,,
Iran,21.10,Middle East
Iraq,1.80,Middle East
Israel,10.70,Middle East
Kuwait,0.20,Middle East
Oman,2.00,Middle East
Qatar,2.10,Middle East
Saudi Arabia,9.80,Middle East
United Arab Emirates,15.60,Middle East
Other Middle East,11.10,Middle East
Total Middle East,74.40,Middle East
,,
Algeria,0.80,Africa
Egypt,26.60,Africa
Morocco,9.80,Africa
South Africa,19.30,Africa
Eastern Africa,97.00,Africa
Middle Africa,39.80,Africa
Western Africa,33.20,Africa
Other Northern Africa,1.00,Africa
Other Southern Africa,3.50,Africa
Total Africa,230.80,Africa
,,
Australia,98.80,Asia Pacific
Bangladesh,2.40,Asia Pacific
China,3398.80,Asia Pacific
China Hong Kong SAR,0.50,Asia Pacific
India,397.10,Asia Pacific
Indonesia,72.30,Asia Pacific
Japan,233.10,Asia Pacific
Malaysia,39.40,Asia Pacific
New Zealand,38.20,Asia Pacific
Pakistan,44.90,Asia Pacific
Philippines,28.30,Asia Pacific
Singapore,2.10,Asia Pacific
South Korea,60.70,Asia Pacific
Sri Lanka,10.40,Asia Pacific
Taiwan,31.50,Asia Pacific
Thailand,29.60,Asia Pacific
Vietnam,128.40,Asia Pacific
Other Asia Pacific,107.20,Asia Pacific
Total Asia Pacific,4723.70,Asia Pacific
